source_file,custom_building_id,story_level,drift_ratio_case_0,drift_ratio_case_1,drift_ratio_case_2,drift_ratio_case_3
data0.json,0,0,0.0,0.0,0.0,0.0
data0.json,0,1,0.009964592982184637,0.0014876874204178703,-5.22390677629306e-06,0.008256405862694171
data0.json,0,2,0.011910737724569787,0.0005175610943998736,0.0012530386493256095,0.01271091352275295
data0.json,0,3,0.018367654190083068,0.0019183556878535155,0.0005459126545534057,0.017933216100878432
data0.json,0,4,0.01966337820900466,0.002518014370174747,0.0006465965216616426,0.019675575145792174
data0.json,0,5,0.023791271556703682,0.002408159484582643,0.0013561206358227416,0.02342805377199175
data0.json,0,6,0.02286338940756154,0.0017224933530673894,0.001201871492133322,0.023209628846129426
data0.json,1,0,0.0,0.0,0.0,0.0
data0.json,1,1,0.01409071145496331,1.9518654189902436e-05,0.0014453256885764351,0.014058483411517806
data0.json,2,0,0.0,0.0,0.0,0.0
data0.json,2,1,0.01094161406936854,0.0018804635262501602,0.00018849418412700064,0.009919448376090573
data0.json,2,2,0.014881316832763542,0.0016379674243021058,0.002021058980272189,0.017133710063704708
data0.json,2,3,0.021182589636295476,0.0034635299922903583,0.0022739301187691676,0.020551466759852057
data0.json,2,4,0.02565164384663546,0.0035677886642910043,0.00326322727962812,0.026869380472386788
data0.json,3,0,0.0,0.0,0.0,0.0
data0.json,3,1,0.006490808770025124,0.000525459737592667,-0.0005202885437824381,0.005480494937848162
data0.json,3,2,0.01211080217119778,0.00018236380114847994,0.00031183170569203664,0.011983344035312123
data0.json,3,3,0.013059680872739489,0.0005358469358534505,0.0007274550046871281,0.011975436407525861
data0.json,3,4,0.015029505653329025,0.0003591512516609434,0.001848778150501278,0.015122696909530884
data0.json,3,5,0.022039867322654373,0.0014136457192792298,0.0021964139428024723,0.021471671541644092
data0.json,3,6,0.021293965182309197,0.0002586912203455199,0.002190782495631578,0.021035563970519876
data0.json,3,7,0.021903680692102596,0.0010958407410974777,0.0022252352993870042,0.021903495846529984
data0.json,4,0,0.0,0.0,0.0,0.0
data0.json,4,1,0.008766170950038177,0.00015884778647927588,1.2027370899565325e-05,0.008468963339874172
data0.json,4,2,0.012702610351806722,0.0002320162099898843,0.0008051256947811935,0.012789287813075518
data0.json,4,3,0.019725394112282132,0.0008362279653543273,0.00045624575909684694,0.019970223299342726
data0.json,4,4,0.020522114302865647,0.0006251810692529102,0.0011117976376436866,0.02068532040832455
data0.json,5,0,0.0,0.0,0.0,0.0
data0.json,5,1,0.00705872537480883,0.0005529055026180804,0.0006059629548160128,0.006399296831799584
data0.json,5,2,0.01088030138354203,0.0009090694027263192,0.0008852315708456442,0.01177627245020629
data0.json,5,3,0.01586625073797615,0.0011714188829005981,0.0024897490445652745,0.01559294028796669
data0.json,5,4,0.018853289895253717,0.0017467970406285763,0.0036094757676837902,0.018547208807082625
data0.json,5,5,0.024090141714833084,0.0013785209650298159,0.003536226378642531,0.0242519276820798
data0.json,5,6,0.02732252904615529,0.0025028802381592704,0.0033942259077553313,0.026060473815848438
data0.json,5,7,0.027854018612394945,0.002426312505427971,0.003837515636189816,0.027201017257556737
data0.json,6,0,0.0,0.0,0.0,0.0
data0.json,6,1,0.008057196924259834,0.0006272411396858228,0.00039920899023981334,0.0067524364468370115
data0.json,6,2,0.010260952258454154,0.0007283321210351374,0.0005536681305785111,0.008785030655148218
data0.json,6,3,0.013542467933402587,0.0009290701072947735,0.0007928130780738135,0.012431524522485199
data0.json,6,4,0.015531607914134528,0.0010196308788319322,0.0007149776025344968,0.014418451941686634
data0.json,6,5,0.0175869478250211,0.0011857277419440627,0.0008772203448052999,0.017236528252190315
data0.json,6,6,0.018636592705773263,0.0011169709488085052,0.0013235290973278467,0.017709265940813408
data0.json,6,7,0.021578767589717246,0.0013666425970658776,0.001107984243990005,0.02183195607846114
data0.json,6,8,0.023755868161765246,0.001698864478938122,0.0015363872515763788,0.024354027885798737
data0.json,6,9,0.026236117998689846,0.002344063249577604,0.0019378766725161856,0.02688759162659655
data0.json,7,0,0.0,0.0,0.0,0.0
data0.json,7,1,0.006467208497274485,0.00044643427887069986,0.0005480890777221075,0.006776927191893532
data0.json,7,2,0.0109081822287185,0.0007347188516284671,0.0009913031831889222,0.011465011681488916
data0.json,7,3,0.013272162294914326,0.000843156141595807,0.0011637406133399196,0.013808430537774079
data0.json,7,4,0.0168718982586544,0.0010917921415894572,0.0012575826844942373,0.01688032610450256
data0.json,7,5,0.019650700795931945,0.0013167840769733085,0.00142028553804836,0.019642141991467757
data0.json,7,6,0.021791286899578214,0.0014393336141156842,0.0015856337332154323,0.02163352011631215
data0.json,8,0,0.0,0.0,0.0,0.0
data0.json,8,1,0.01480934817078912,0.0014170233089359102,0.00048371286701380365,0.015591990692027605
data0.json,8,2,0.021945230899749656,0.002128883071619496,0.0008536219879946078,0.022743542899999292
data0.json,9,0,0.0,0.0,0.0,0.0
data0.json,9,1,0.006600048562269674,0.00014171053534454376,4.374901720528345e-06,0.007931075203576847
data0.json,9,2,0.010300647721743609,-1.953572610710726e-05,0.00010031846912200964,0.011374879174994199
data0.json,9,3,0.012939010584269732,-0.00040161176034023995,-5.5845986949379805e-05,0.013676383645413695
data0.json,9,4,0.01611338052498655,0.0002663957045881944,0.000666636020099656,0.01718627983844005
data0.json,9,5,0.01634969193275683,-0.000588390195833223,-0.00010509307684363498,0.016813123348235506
data0.json,9,6,0.018045983200189762,-0.00017824876277994844,-0.00048006499373229913,0.01844750472893466
data0.json,9,7,0.0176888544002248,0.0010289533231147383,-0.00021811238745019873,0.017879362989139017
data0.json,9,8,0.02187926198926166,-0.00033290472109533944,0.000579876811664472,0.020951828650027
data0.json,9,9,0.02064135508760787,0.0011309826167681103,0.0014740639530920184,0.020858216829252697
data0.json,10,0,0.0,0.0,0.0,0.0
data0.json,10,1,0.012826547592646098,0.0007355672573868042,0.0009057984749252971,0.013171089652006413
data0.json,10,2,0.01871493243779218,0.0013853614150061322,0.0015197798344994081,0.018085671825093706
data0.json,10,3,0.027257459776180142,0.0013990577560606195,0.0026823638933489,0.02765309874097731
data0.json,11,0,0.0,0.0,0.0,0.0
data0.json,11,1,0.007937526437841777,0.0011469751703797576,0.00014660306957155653,0.008300700607787587
data0.json,11,2,0.01424481474738019,0.0017484960279678004,0.00011340294317473463,0.014320817669027831
data0.json,11,3,0.018700415799019536,0.0015990145850235476,6.941624135729343e-05,0.018898572695134126
data0.json,11,4,0.024284668692270805,0.002800534781889224,0.0008095970046210235,0.02487053657058061
data0.json,11,5,0.028071507835917667,0.003965371918848674,0.0006213929616621516,0.02812028956433836
data0.json,12,0,0.0,0.0,0.0,0.0
data0.json,12,1,0.013081595901269597,0.0017016263341889817,0.0013803991449604944,0.013530840125737244
data0.json,12,2,0.020816316751653977,0.0035334613353017264,0.002280123842480645,0.020659198790385535
data0.json,13,0,0.0,0.0,0.0,0.0
data0.json,13,1,0.01070971508208421,-0.0004485092039095476,0.0005369228214696378,0.010558455854171743
data0.json,13,2,0.014427671609643068,-0.0001663152787550855,0.0005128807586800133,0.014220034363689635
data0.json,13,3,0.023131847936533965,0.002980904212297187,0.0015030578194552072,0.023059314209290773
data0.json,14,0,0.0,0.0,0.0,0.0
data0.json,14,1,0.008256738343396294,0.00038003743090846343,0.0001447418604300885,0.007750024232004991
data0.json,14,2,0.012642504680167085,0.0001795068151316095,0.0016377854182811561,0.012039070261643345
data0.json,14,3,0.016424485915989356,0.00029578998901997586,0.0010022861141142968,0.01635567966342677
data0.json,14,4,0.02067818487875121,0.0004526038351000437,0.0019128192201548825,0.02053269191144906
data0.json,14,5,0.022886899190715505,0.000489818869252798,0.0015086492933466518,0.02259503788053527
data0.json,14,6,0.02725106726137836,0.0008547204663422988,0.0022028662756249343,0.027187159462400256
data0.json,15,0,0.0,0.0,0.0,0.0
